DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2022-01-03 16:45:00,Pirate Ship,41.39172,Validation
2021-12-04 15:30:00,Pirate Ship,30.499935,Validation
2020-10-03 14:00:00,Water Ride,23.923857,Validation
2021-06-26 10:45:00,Flying Coaster,33.243637,Validation
2020-10-07 13:45:00,Flying Coaster,7.8359137,Validation
2021-06-20 09:45:00,Water Ride,17.283867,Validation
2022-03-01 10:15:00,Pirate Ship,29.953232,Validation
2021-09-07 10:15:00,Flying Coaster,15.928831,Validation
2021-11-01 13:15:00,Flying Coaster,40.771824,Validation
2021-09-15 16:00:00,Flying Coaster,6.981289,Validation
2021-07-15 11:30:00,Pirate Ship,23.478569,Validation
2021-11-22 12:00:00,Flying Coaster,9.692837,Validation
2021-08-22 18:30:00,Flying Coaster,4.863354,Validation
2020-08-17 12:45:00,Water Ride,22.088898,Validation
2021-08-20 16:00:00,Flying Coaster,13.891605,Validation
2021-09-05 14:45:00,Water Ride,22.936176,Validation
2020-08-02 18:00:00,Pirate Ship,14.653934,Validation
2021-08-16 14:30:00,Pirate Ship,30.97087,Validation
2022-02-23 13:15:00,Pirate Ship,33.155968,Validation
2021-08-20 10:45:00,Flying Coaster,12.493069,Validation
2021-11-10 13:45:00,Flying Coaster,19.17777,Validation
2022-03-18 13:30:00,Pirate Ship,39.314503,Validation
2022-03-30 16:30:00,Pirate Ship,45.11466,Validation
2021-07-01 17:45:00,Flying Coaster,17.649,Validation
2021-11-04 12:45:00,Water Ride,25.771082,Validation
2021-09-17 09:45:00,Pirate Ship,19.63576,Validation
2021-12-01 17:00:00,Flying Coaster,10.108103,Validation
2021-12-30 14:00:00,Water Ride,40.25127,Validation
2021-10-30 16:45:00,Pirate Ship,35.15778,Validation
2022-03-11 16:30:00,Flying Coaster,2.3126328,Validation
2020-09-20 13:30:00,Flying Coaster,19.813978,Validation
2022-02-21 09:15:00,Pirate Ship,38.297005,Validation
2022-01-30 15:45:00,Pirate Ship,27.292986,Validation
2021-12-15 09:30:00,Pirate Ship,40.732796,Validation
2021-08-01 18:15:00,Pirate Ship,26.87657,Validation
2021-07-26 15:15:00,Flying Coaster,8.030759,Validation
2020-07-20 14:30:00,Water Ride,23.83406,Validation
2021-09-14 15:30:00,Water Ride,24.316525,Validation
2021-10-05 14:15:00,Pirate Ship,17.986818,Validation
2021-08-27 16:30:00,Water Ride,29.909405,Validation
2021-12-08 15:45:00,Water Ride,34.00651,Validation
2021-10-10 18:15:00,Water Ride,9.691192,Validation
2021-08-22 18:30:00,Water Ride,19.962769,Validation
2022-01-09 18:00:00,Pirate Ship,13.869019,Validation
2022-03-18 17:00:00,Flying Coaster,12.249152,Validation
2021-08-23 14:15:00,Flying Coaster,22.298239,Validation
2021-10-26 13:00:00,Pirate Ship,32.59725,Validation
2021-12-01 10:45:00,Pirate Ship,27.747808,Validation
2021-12-19 10:30:00,Pirate Ship,36.72847,Validation
2020-08-04 13:15:00,Water Ride,23.451479,Validation
2021-10-18 14:00:00,Flying Coaster,34.9461,Validation
2020-10-17 12:30:00,Pirate Ship,29.465275,Validation
2020-08-14 12:15:00,Pirate Ship,31.721174,Validation
2022-03-03 15:45:00,Pirate Ship,31.57659,Validation
2020-08-06 09:30:00,Flying Coaster,17.42895,Validation
2021-10-16 15:00:00,Pirate Ship,32.81273,Validation
2021-12-08 11:45:00,Flying Coaster,23.60167,Validation
2022-03-27 14:30:00,Water Ride,31.070915,Validation
2021-10-11 14:45:00,Pirate Ship,26.072155,Validation
2021-08-19 18:45:00,Pirate Ship,22.939173,Validation
2021-10-12 16:15:00,Water Ride,29.207026,Validation
2021-10-15 14:00:00,Flying Coaster,21.025507,Validation
2021-09-14 13:15:00,Water Ride,18.35169,Validation
2021-08-25 10:30:00,Water Ride,28.460972,Validation
2020-07-26 15:00:00,Pirate Ship,26.752052,Validation
2022-01-02 17:45:00,Water Ride,22.67949,Validation
2022-01-08 13:15:00,Pirate Ship,35.20345,Validation
2020-09-15 11:15:00,Water Ride,7.718878,Validation
2022-01-08 19:45:00,Flying Coaster,6.0540876,Validation
2021-08-06 18:15:00,Water Ride,18.553911,Validation
