DATETIME,ENTITY_DESCRIPTION_SHORT,y_pred,KEY
2022-04-30 12:15:00,Water Ride,24.207520566288157,Validation
2022-03-12 11:30:00,Water Ride,24.41619316110212,Validation
2022-07-03 14:15:00,Flying Coaster,25.438402846021837,Validation
2019-04-16 15:15:00,Flying Coaster,23.421345978990978,Validation
2019-10-11 15:15:00,Flying Coaster,14.590887760482161,Validation
2020-01-17 12:45:00,Flying Coaster,26.209941951107908,Validation
2022-07-10 11:15:00,Water Ride,23.238014539086254,Validation
2020-08-19 12:30:00,Pirate Ship,23.352609362750485,Validation
2020-01-17 12:45:00,Water Ride,22.32502906254212,Validation
2018-10-31 19:15:00,Water Ride,25.791624277342624,Validation
2022-05-21 10:15:00,Water Ride,21.872731225009495,Validation
2022-07-27 18:15:00,Flying Coaster,24.826283165382023,Validation
2022-05-26 15:30:00,Water Ride,23.18394950094967,Validation
2019-07-11 09:15:00,Water Ride,22.132224050982234,Validation
2019-08-03 19:45:00,Flying Coaster,25.4418826431362,Validation
2020-08-29 17:15:00,Water Ride,27.240142987126703,Validation
2019-11-16 10:45:00,Water Ride,28.976471808267192,Validation
2020-10-09 12:30:00,Pirate Ship,38.93088820382204,Validation
2021-11-26 13:45:00,Pirate Ship,19.21386319853366,Validation
2020-08-13 13:30:00,Pirate Ship,30.626062586445077,Validation
2019-07-04 15:30:00,Water Ride,13.804206331135678,Validation
2019-01-31 14:00:00,Flying Coaster,14.86335198686422,Validation
2021-12-19 10:30:00,Pirate Ship,22.797668100740154,Validation
2021-11-13 11:45:00,Water Ride,23.781551075123648,Validation
2021-06-23 14:00:00,Flying Coaster,25.480239666915825,Validation
2019-02-09 10:00:00,Water Ride,21.89204646932951,Validation
2019-12-24 18:30:00,Flying Coaster,11.658518123544821,Validation
2022-02-08 16:15:00,Pirate Ship,14.744213467058318,Validation
2022-03-29 12:30:00,Water Ride,24.44129243193116,Validation
2019-08-15 16:30:00,Flying Coaster,22.101919741427587,Validation
2019-10-24 14:30:00,Water Ride,25.223176885644268,Validation
2021-09-10 14:30:00,Pirate Ship,21.63377440627873,Validation
2021-09-13 10:45:00,Pirate Ship,25.10018251460292,Validation
2021-11-06 15:00:00,Pirate Ship,27.511359697107313,Validation
2022-04-15 17:45:00,Pirate Ship,23.407147874050544,Validation
2022-06-16 15:15:00,Pirate Ship,12.79306814992539,Validation
2019-08-04 14:45:00,Flying Coaster,16.106175109573154,Validation
2019-06-29 16:00:00,Flying Coaster,32.76234315197731,Validation
2022-04-09 15:00:00,Pirate Ship,23.550270894585584,Validation
2021-11-28 13:00:00,Water Ride,38.6419952604712,Validation
2018-11-25 15:45:00,Water Ride,23.543097720087726,Validation
2022-03-27 12:15:00,Water Ride,23.871826185696616,Validation
2018-11-04 14:45:00,Flying Coaster,31.730952882437727,Validation
2022-03-16 13:00:00,Pirate Ship,15.950484049465576,Validation
2019-11-23 10:45:00,Flying Coaster,17.347961665191185,Validation
2022-04-09 17:15:00,Pirate Ship,17.385916314640042,Validation
2018-11-12 10:30:00,Water Ride,24.528295771797406,Validation
2022-07-09 10:30:00,Water Ride,33.30339279761747,Validation
2020-10-07 16:00:00,Flying Coaster,20.839966141168706,Validation
2020-10-06 12:00:00,Pirate Ship,20.57179405105959,Validation
2018-12-11 16:00:00,Flying Coaster,23.060375610986036,Validation
2022-01-18 13:15:00,Pirate Ship,35.4526688291058,Validation
2020-02-29 17:15:00,Water Ride,36.9926221018221,Validation
2020-10-25 10:00:00,Flying Coaster,29.83334311967562,Validation
2021-09-18 19:00:00,Flying Coaster,17.02460010536519,Validation
2020-10-03 16:30:00,Pirate Ship,25.220265768155283,Validation
2019-05-25 18:30:00,Flying Coaster,34.448892960902555,Validation
2020-09-28 15:45:00,Water Ride,26.117055511472543,Validation
2022-04-06 14:15:00,Water Ride,17.883359920420126,Validation
2022-07-13 10:00:00,Flying Coaster,38.92854175227118,Validation
2019-01-26 16:45:00,Flying Coaster,33.383943366954874,Validation
2018-11-19 12:45:00,Water Ride,27.564104186836655,Validation
2019-07-20 13:45:00,Water Ride,32.57689422800726,Validation
2019-03-19 10:00:00,Water Ride,29.407445202524038,Validation
2020-09-01 15:30:00,Water Ride,23.705705936948338,Validation
2019-09-25 14:45:00,Water Ride,26.48809579323882,Validation
2021-09-02 15:15:00,Pirate Ship,29.05046013716495,Validation
2019-08-16 11:30:00,Water Ride,17.99787388840617,Validation
2019-03-31 19:00:00,Flying Coaster,25.743144922678177,Validation
2021-08-06 11:45:00,Pirate Ship,27.561767656637233,Validation
2020-08-11 16:30:00,Water Ride,6.768279537229322,Validation
2022-07-23 17:45:00,Water Ride,27.418792980106243,Validation
2021-06-24 16:30:00,Flying Coaster,21.296243169275332,Validation
2022-04-28 13:15:00,Pirate Ship,7.2445797573911594,Validation
2020-09-14 10:45:00,Flying Coaster,31.89172656441369,Validation
2020-09-09 13:15:00,Pirate Ship,14.154080788023983,Validation
2019-05-02 16:00:00,Flying Coaster,11.51509709580112,Validation
2022-07-08 15:30:00,Flying Coaster,24.124923415557074,Validation
2020-02-25 16:45:00,Water Ride,34.48708339697709,Validation
2019-07-16 10:00:00,Flying Coaster,3.3890469434203876,Validation
2021-10-17 16:45:00,Water Ride,27.842644206316375,Validation
2022-03-12 14:00:00,Pirate Ship,15.214672100521302,Validation
2022-07-30 19:00:00,Pirate Ship,16.086877760630696,Validation
2021-08-20 10:45:00,Flying Coaster,32.24280201368622,Validation
2019-03-28 10:30:00,Water Ride,23.111872739181834,Validation
2020-10-06 14:15:00,Pirate Ship,23.04258555300509,Validation
2022-01-08 13:15:00,Flying Coaster,28.05190360085947,Validation
2022-03-08 13:15:00,Flying Coaster,8.100355751204729,Validation
2021-07-14 13:15:00,Pirate Ship,28.896279051162004,Validation
2019-07-13 09:15:00,Water Ride,25.05833675034103,Validation
2021-10-04 10:30:00,Water Ride,11.041966271664231,Validation
2022-06-03 14:45:00,Pirate Ship,30.244753979693066,Validation
2019-12-17 11:30:00,Pirate Ship,34.026584923343854,Validation
2019-05-13 17:15:00,Water Ride,19.295748767439687,Validation
2022-01-07 10:45:00,Water Ride,22.95960016456186,Validation
2019-08-20 09:30:00,Water Ride,20.379414827693854,Validation
2021-12-28 12:15:00,Water Ride,26.280926614314087,Validation
2018-11-21 13:00:00,Water Ride,15.53904396824318,Validation
2019-06-18 14:30:00,Water Ride,26.429942037271452,Validation
2022-05-25 10:30:00,Flying Coaster,31.843925309532455,Validation
2022-05-28 14:30:00,Water Ride,23.243779048765425,Validation
2021-09-05 18:00:00,Water Ride,22.470868476294623,Validation
2020-09-13 17:15:00,Pirate Ship,8.376250473818297,Validation
2021-09-21 13:00:00,Flying Coaster,26.666883741336395,Validation
2022-06-04 17:30:00,Pirate Ship,23.471594921955752,Validation
2021-10-13 12:00:00,Water Ride,37.05811295926017,Validation
2019-05-09 17:00:00,Flying Coaster,28.4267705281606,Validation
2019-04-27 17:45:00,Flying Coaster,21.988739352585917,Validation
2022-08-01 11:00:00,Flying Coaster,27.456681453588647,Validation
2021-06-25 17:15:00,Pirate Ship,27.789968308729723,Validation
2022-01-13 16:30:00,Flying Coaster,21.945610466713326,Validation
2022-06-22 13:30:00,Pirate Ship,22.584614336896514,Validation
2022-05-29 10:15:00,Pirate Ship,20.924600199078125,Validation
2022-07-24 20:45:00,Pirate Ship,24.268301075823203,Validation
2022-01-05 09:45:00,Pirate Ship,23.039965199992427,Validation
2022-07-16 19:15:00,Water Ride,22.344441250073356,Validation
2022-05-10 13:45:00,Pirate Ship,30.623636231016103,Validation
2021-12-17 18:15:00,Water Ride,17.581831273776665,Validation
2022-06-23 11:00:00,Pirate Ship,23.144019536479956,Validation
2022-05-05 16:45:00,Water Ride,24.747411939889556,Validation
2022-02-10 09:00:00,Water Ride,34.030412910994606,Validation
2022-06-11 13:30:00,Flying Coaster,23.32595702664524,Validation
2018-11-23 10:15:00,Water Ride,19.094104557921252,Validation
2019-07-14 11:15:00,Water Ride,23.41949441412872,Validation
2021-12-29 15:15:00,Water Ride,26.44425293706714,Validation
2021-11-03 10:45:00,Flying Coaster,16.2114976406408,Validation
2022-01-01 10:00:00,Pirate Ship,22.6528141412265,Validation
