DATETIME,ENTITY_DESCRIPTION_SHORT,CURRENT_WAIT_TIME,WAIT_TIME_IN_2H,day,week,year,is_holiday,is_pirate_ship,is_flying_coaster,capacity_normalized,has_downtime,time_to_next_event,weather_comfort
2022-02-05 11:45:00,Water Ride,20,30.0,-0.6666666666666666,5,3,0.0,0,0,0.3620571136832268,0,240.0,0.0185094
2019-02-24 10:45:00,Water Ride,30,25.0,-0.8333333333333334,6,0,0.0,0,0,0.3620571136832268,0,240.0,0.12945839999999997
2021-07-17 15:45:00,Pirate Ship,35,35.0,0.0,5,2,0.0,1,0,0.8125583163931684,0,240.0,0.1226544
2022-04-03 19:45:00,Pirate Ship,15,10.0,0.6666666666666666,6,3,0.0,1,0,0.17163722873317294,0,-135.0,0.1295658
2021-10-20 10:30:00,Pirate Ship,15,10.0,-0.8333333333333334,2,2,0.0,1,0,-0.8169020759627522,0,240.0,0.055586399999999994
2022-05-30 09:15:00,Flying Coaster,5,10.0,-1.0,0,3,0.0,0,1,-3.931644950006244,0,240.0,0.09265620000000001
2019-09-22 11:45:00,Water Ride,15,30.0,-0.6666666666666666,6,0,0.0,0,0,0.3620571136832268,0,240.0,0.2159616
2019-01-10 14:30:00,Water Ride,15,15.0,-0.16666666666666666,3,0,0.0,0,0,0.3620571136832268,0,120.0,0.04533780000000001
2020-08-20 10:30:00,Water Ride,20,25.0,-0.8333333333333334,3,1,0.0,0,0,0.3620571136832268,0,240.0,0.14117520000000003
2022-02-03 16:00:00,Pirate Ship,30,20.0,0.16666666666666666,3,3,0.0,1,0,-0.8712174223746163,0,240.0,0.03467519999999999
2019-08-28 19:30:00,Flying Coaster,25,15.0,0.6666666666666666,2,0,0.0,0,1,0.3763411845404809,0,-120.0,0.16533000000000003
2020-09-30 12:00:00,Pirate Ship,10,20.0,-0.5,2,1,0.0,1,0,-1.2514248472576643,0,240.0,0.04212480000000001
2019-02-19 10:45:00,Water Ride,15,25.0,-0.8333333333333334,1,0,0.0,0,0,-0.21220014360623327,0,240.0,0.0442134
2018-12-15 09:45:00,Flying Coaster,10,40.0,-1.0,5,-1,0.0,0,1,0.3763411845404809,0,125.0,0.017068799999999995
2021-10-30 13:00:00,Pirate Ship,15,35.0,-0.3333333333333333,5,2,0.0,1,0,1.1384503948643527,0,240.0,0.008880000000000008
2022-04-03 09:45:00,Pirate Ship,15,45.0,-1.0,6,3,0.0,1,0,-0.8169020759627522,0,240.0,0.05066864999999998
2021-06-15 09:30:00,Pirate Ship,5,15.0,-1.0,1,2,0.0,1,0,-2.0987442512827434,0,240.0,0.1447074
2022-07-06 14:45:00,Water Ride,25,25.0,-0.16666666666666666,2,3,0.0,0,0,0.3620571136832268,0,165.0,0.24844154999999996
2019-09-07 12:15:00,Flying Coaster,40,50.0,-0.5,5,0,0.0,0,1,0.3763411845404809,0,240.0,0.22183424999999998
2018-10-13 11:00:00,Water Ride,30,25.0,-0.6666666666666666,5,-1,0.0,0,0,-0.21220014360623327,0,70.0,0.16369920000000002
2020-10-23 17:00:00,Water Ride,20,10.0,0.3333333333333333,4,1,0.0,0,0,0.3620571136832268,0,240.0,0.1784064
2019-12-14 12:00:00,Flying Coaster,30,45.0,-0.5,5,0,0.0,0,1,0.3763411845404809,0,0.0,0.06844800000000001
2020-02-27 13:30:00,Flying Coaster,25,35.0,-0.3333333333333333,3,1,0.0,0,1,0.3763411845404809,0,210.0,0.0282048
2019-05-01 11:30:00,Flying Coaster,40,45.0,-0.6666666666666666,2,0,0.8,0,1,0.3763411845404809,0,240.0,0.1290492
2019-08-28 17:00:00,Water Ride,35,25.0,0.3333333333333333,2,0,0.0,0,0,0.3620571136832268,0,30.0,0.18059280000000003
2020-10-02 14:15:00,Flying Coaster,5,5.0,-0.16666666666666666,4,1,0.0,0,1,0.3763411845404809,0,240.0,0.0277164
2019-02-27 11:00:00,Water Ride,35,20.0,-0.6666666666666666,2,0,0.0,0,0,0.3620571136832268,0,240.0,0.1747176
2021-09-07 16:30:00,Flying Coaster,5,15.0,0.16666666666666666,1,2,0.0,0,1,-0.560177540360981,0,240.0,0.113868
2021-10-11 11:45:00,Flying Coaster,20,25.0,-0.6666666666666666,0,2,0.0,0,1,0.3763411845404809,0,240.0,0.0561
2022-06-09 20:15:00,Flying Coaster,15,5.0,0.8333333333333334,3,3,0.0,0,1,0.3763411845404809,0,-165.0,0.211584
2020-07-31 11:15:00,Pirate Ship,20,15.0,-0.6666666666666666,4,1,0.0,1,0,-1.0341634616102082,0,240.0,0.11051790000000002
2021-10-17 14:15:00,Flying Coaster,35,25.0,-0.16666666666666666,6,2,0.0,0,1,0.3763411845404809,0,240.0,0.1559025
2018-10-25 10:45:00,Pirate Ship,60,45.0,-0.8333333333333334,3,-1,0.0,1,0,0.4214878222277476,0,85.0,0.06562380000000001
2019-06-08 18:15:00,Water Ride,40,30.0,0.5,5,0,0.0,0,0,0.3620571136832268,0,-45.0,0.2075256
2022-06-12 20:00:00,Water Ride,35,20.0,0.8333333333333334,6,3,0.0,0,0,0.3620571136832268,0,-150.0,0.2403
2021-10-20 12:00:00,Pirate Ship,30,30.0,-0.5,2,2,0.0,1,0,1.0298197020406246,0,240.0,0.050015999999999984
2021-08-27 10:45:00,Flying Coaster,25,15.0,-0.8333333333333334,4,2,0.0,0,1,-1.1220887753018582,1,240.0,0.1533462
2018-10-14 18:00:00,Pirate Ship,40,35.0,0.5,6,-1,0.0,1,0,0.8125583163931684,0,-350.0,0.2256
2019-05-24 10:00:00,Water Ride,5,25.0,-0.8333333333333334,4,0,0.0,0,0,-3.000104276295104,1,240.0,0.1382832
2018-10-13 15:15:00,Pirate Ship,30,45.0,0.0,5,-1,0.0,1,0,0.8125583163931684,0,-185.0,0.21503475
2021-07-25 10:45:00,Pirate Ship,55,25.0,-0.8333333333333334,6,2,0.0,1,0,-0.8169020759627522,0,240.0,0.031049699999999996
