DATETIME,ENTITY_DESCRIPTION_SHORT,weather_agreeable,mins_to_event,event_soon_60,wait_trend_1,ADJUST_CAPACITY,DOWNTIME,CURRENT_WAIT_TIME,TIME_TO_PARADE_1,TIME_TO_PARADE_2,TIME_TO_NIGHT_SHOW,hour,dow,month,wait_per_capacity,has_downtime,ride_water,ride_flying,feels_like,wait_lag_1,WAIT_TIME_IN_2H
2020-07-11 09:15:00,Flying Coaster,0.678888234902249,0.0,0,-0.0005299734840230301,0.9545084625632483,0,0,0.0,0.0,0.0,9,5,7,-0.8100032653442003,0,0,1,0.20185260215269493,-0.5350560977033268,5.0
2020-07-11 09:30:00,Flying Coaster,0.7860078097503717,0.0,0,-0.0005299734840230301,1.5750527473046754,0,0,0.0,0.0,0.0,9,5,7,-0.8100032653442003,0,0,1,0.25534998467073544,-1.7200263636702882,5.0
2020-07-11 09:45:00,Flying Coaster,0.8869136867778239,0.0,0,0.6188323715108914,1.5750527473046754,0,5,0.0,0.0,0.0,9,5,7,-0.7513478874327503,0,0,1,0.308847367188776,-1.7200263636702882,5.0
2020-07-11 10:00:00,Flying Coaster,0.980379465280962,0.0,0,-0.0005299734840230301,1.5750527473046754,0,5,0.0,0.0,0.0,10,5,7,-0.7513478874327503,0,0,1,0.3623447497068165,-1.3250362750146343,5.0
2020-07-11 10:00:00,Pirate Ship,0.980379465280962,0.0,0,-0.0005299734840230301,-1.3183581041682477,0,5,0.0,0.0,0.0,10,5,7,0.05788971388960435,0,0,0,0.3623447497068165,0.25492407960798064,20.0
2020-07-11 10:15:00,Flying Coaster,1.0097465411941287,0.0,0,-0.0005299734840230301,1.5750527473046754,0,5,0.0,0.0,0.0,10,5,7,-0.7513478874327503,0,0,1,0.38066981996161503,-1.3250362750146343,5.0
2020-07-11 10:15:00,Pirate Ship,1.0097465411941287,0.0,0,-0.0005299734840230301,-1.3183581041682477,0,5,0.0,0.0,0.0,10,5,7,0.05788971388960435,0,0,0,0.38066981996161503,-1.3250362750146343,15.0
2020-07-11 10:30:00,Pirate Ship,1.0378215273150282,0.0,0,-0.0005299734840230301,-1.3183581041682477,0,5,0.0,0.0,0.0,10,5,7,0.05788971388960435,0,0,0,0.3989948902164131,-1.3250362750146343,15.0
2020-07-11 10:45:00,Pirate Ship,1.0645546058479443,0.0,0,-0.0005299734840230301,-1.3113810850937742,0,5,0.0,0.0,0.0,10,5,7,0.02994618993700083,0,0,0,0.4173199604712112,-1.3250362750146343,15.0
2020-07-11 11:00:00,Water Ride,1.089897982069789,0.0,0,-0.0005299734840230301,-0.9194367782630448,6,5,0.0,0.0,0.0,11,5,7,-0.5109518072265508,1,1,0,0.43564503072600974,-0.14006600904767308,5.0
2020-07-11 11:00:00,Pirate Ship,1.089897982069789,0.0,0,3.096281751490549,-1.3183581041682477,0,30,0.0,0.0,0.0,11,5,7,4.3973546100586285,0,0,0,0.43564503072600974,-1.3250362750146343,15.0
2020-07-11 11:15:00,Pirate Ship,1.0922319829001044,0.0,0,-0.0005299734840230301,-1.2904500278703528,0,30,0.0,0.0,0.0,11,5,7,3.785782355261751,0,0,0,0.43771399027090613,0.6499141682636344,20.0
2020-07-11 11:30:00,Pirate Ship,1.0944277081468266,0.0,0,-0.0005299734840230301,-1.1090475319340363,0,30,0.0,0.0,0.0,11,5,7,1.796225798642916,0,0,0,0.43978294981580296,0.6499141682636344,20.0
2020-07-11 11:45:00,Water Ride,1.0964847824955797,0.0,0,-0.0005299734840230301,-1.1897622031293023,10,5,0.0,0.0,0.0,11,5,7,-0.2720006469988541,1,1,0,0.44185190936069973,-1.3250362750146343,5.0
